English,Shakespearean
I think I hear them .,"I think I hear them. , Stand , ho !"
That's enough about that .,"So much for this , sir ."
Now I'll tell you the other story about my journey .,Now shall you see the other .
Do you remember the circumstances ?,You do remember all the circumstance ?
"How could I forget , my lord !","Remember it , my lord ?"
There was a kind of war in my brain that wouldn't let me sleep .,"Sir , in my heart there was a kind of fighting That would not let me sleep ."
It was worse than being a captive in chains .,Methought I lay Worse than the mutines in the bilboes .
Is it possible ?,Is 't possible ?
"Yes , please tell me .",I beseech you .
Do you want to know what I wrote ?,Wilt thou know Th ' effect of what I wrote ?
"Yes , my lord .","Ay , good my lord ."
"I had my father's signet ring in my pocket , with the royal seal of Denmark on it .","I had my father's signet in my purse , Which was the model of that Danish seal ."
"I folded up the new document , signed it , sealed it , and put it safely back so that no one noticed any difference .","Folded the writ up in form of th ' other , Subscribed it , gave 't th ' impression , placed it safely , The changeling never known ."
"The next day we had our fight at sea , and you know what happened after that .","Now , the next day Was our sea fight , and what to this was sequent Thou know'st already ."
So Rosencrantz and Guildenstern are in for it .,So Guildenstern and Rosencrantz go to 't .
"Man , they were asking for it .","Why , man , they did make love to this employment ."
I don't feel guilty about them at all .,They are not near my conscience .
They got what they deserved .,Their defeat Does by their own insinuation grow .
It's always dangerous when little people get caught in the crossfire of mighty opponents .,Tis dangerous when the baser nature comes Between the pass and fell incensed points Of mighty opposites .
What a king Claudius is !,"Why , what a king is this !"
"Isn't it completely moral to kill him now with this sword , and an easy conscience ?",is 't not perfect conscience To quit him with this arm ?
And wouldn't I be damned if I let this monster live to do more harm ?,And is 't not to be damned To let this canker of our nature come In further evil ?
He'll find out soon what happened in England .,It must be shortly known to him from England What is the issue of the business there .
Soon enough .,It will be short .
But I have the meantime .,The interim's mine .
I'll be nice to him .,I'll court his favors .
It was just that the showiness of his grief sent me into a fury .,But sure the bravery of his grief did put me Into a towering passion .
"Hang on a minute , who are you ?","Peace. , Who comes here ?"
"Welcome back to Denmark , my lord .",Your lordship is right welcome back to Denmark .
"Thank you kindly , sir .","I humbly thank you , sir ."
"My lord , if you have a free moment , I have a message from His Majesty .","Sweet lord , if your lordship were at leisure , I should impart a thing to you from His Majesty ."
"No thank you , my lord .",I thank your lordship .
It's very hot .,It is very hot .
"It is rather cold , indeed , my lord .","It is indifferent cold , my lord , indeed ."
"And yet I feel it's very hot and humid , which is bad for my complexion .",But yet methinks it is very sultry and hot for my complexion .
"Yes indeed it is , sir .","Exceedingly , my lord ."
"Very humid , I can't tell you how humid it is .","It is very sultry , as 'twere , I can not tell how ."
"My lord , His Majesty wanted me to tell you that he's placed a large bet on you .","My lord , his majesty bade me signify to you that he has laid a great wager on your head ."
"This is what it's all about , Please , I beg you , No , my lord , I'm comfortable like this , thank you .","Sir , this is the matter , I beseech you , remember , Nay , good my lord , for mine ease , in good faith ."
"Sir , your description of him doesn't detract from his good qualities , though I know that trying to list them all would make your head spin , and even so you wouldn't be able to keep up with him .","Sir , his definement suffers no perdition in you , though I know to divide him inventorially would dizzy th ' arithmetic of memory , and yet but yaw neither , in respect of his quick sail ."
"I felt like skipping school , sir .","A truant disposition , good my lord ."
"I wouldn't allow your enemies to say that , and I won't believe it from you .","I would not hear your enemy say so , Nor shall you do mine ear that violence , To make it truster of your own report Against yourself ."
I know you'd never skip school .,I know you are no truant .
What are you doing here in Elsinore ?,But what is your affair in Elsinore ?
I'll teach you to drink hard by the time you leave .,We'll teach you to drink deep ere you depart .
"Sir , we came to see your father's funeral .","My lord , I came to see your father's funeral ."
"Please , don't make fun of me .","I pray thee , do not mock me , fellow student ."
I think you came to see my mother's wedding instead .,I think it was to see my mother's wedding .
"Well , sir , it's true it came soon after .","Indeed , my lord , it followed hard upon ."
The leftovers from the funeral dinner made a convenient wedding banquet .,The funeral baked meats Did coldly furnish forth the marriage tables .
"Oh , I'd rather have met my fiercest enemy in heaven , Horatio , than have lived through that terrible day !","Would I had met my dearest foe in heaven Or ever I had seen that day , Horatio ."
"My father , I think I see my father .","My father , methinks I see my father ."
"Where , sir ?","Where , my lord ?"
"In my imagination , Horatio .","In my mind's eye , Horatio ."
I saw him once .,I saw him once .
He was an admirable king .,He was a goodly king .
He was a great human being .,He was a man .
He was perfect in everything .,Take him for all in all .
I'll never see the likes of him again .,I shall not look upon his like again .
"You speak absolutely correctly , sir .",Your lordship speaks most infallibly of him .
"And what's the point , sir ?","The concernancy , sir ?"
Why are we talking about him like this ?,Why do we wrap the gentleman in our more rawer breath ?
"Sorry , sir ?",Sir ?
"I know you know something , Thanks for the compliment , I'm happy you know that .","I know you are not ignorant , I would you did , sir ."
But in fact it doesn't say much .,"Yet in faith , if you did , it would not much approve me ."
"I'm sorry , you were saying ?","Well , sir ?"
"I know you know something about how excellent Laertes is ,","You are not ignorant of what excellence Laertes is ,"
"I can't admit that , since you'd have to compare his excellence to mine .","I dare not confess that lest I should compare with him in excellence , but to know a man well were to know himself ."
"Excellent in fencing , I mean , sir .","I mean , sir , for his weapon ."
The rapier and the dagger .,Rapier and dagger .
Those are only two of his weapons .,That's two of his weapons .
"But , go on .",But well .
"The king has bet six Barbary horses , and he has prepared six French rapiers and daggers with all their accessories .","The king , sir , hath wagered with him six Barbary horses , against the which he has impawned , as I take it , six French rapiers and poniards with their assigns , as girdle , hangers , and so ."
"Three of the carriages are very imaginatively designed , and they match the fencing accessories .","Three of the carriages , in faith , are very dear to fancy , very responsive to the hilts , most delicate carriages , and of very liberal conceit ."
"What do you mean by ""carriages"" ?",What call you the carriages ?
"The carriages , sir , are the hangers , where the swords hang .","The carriages , sir , are the hangers ."
"Carriage"" makes it sound like it's pulling around a cannon .",The phrase would be more germane to the matter if we could carry cannon by our sides .
"I prefer to call it a ""hanger."" But anyway .",I would it might be hangers till then .
"Six Barbary horses , six French swords with accessories , and three imaginatively designed carriages , sounds like a French bet against the Danish .","But , on : six Barbary horses against six French swords , their assigns , and three liberal-conceited carriages , that's the French bet against the Danish ."
Why has all this been put on the table ?,"Why is this ""impawned , "" as you call it ?"
"The king , sir , has bet that in a dozen rounds between you and Laertes , he won't beat you by more than three hits .","The king , sir , hath laid that in a dozen passes between yourself and him , he shall not exceed you three hits ."
But what if my answer's no ?,"How if I answer ""No"" ?"
It's my exercise time .,"If it please His Majesty , 'tis the breathing time of day with me ."
My services are at your command .,I commend my duty to your lordship .
Thank you .,"Yours , yours ."
It's a good thing he's here to recommend himself .,He does well to commend it himself .
No one else would .,There are no tongues else for 's turn .
He used to praise his mother's nipple before he sucked it .,"He did comply , sir , with his dug before he sucked it ."
"The king wishes to know if you want to play against him right away , or wait awhile .","He sends to know if your pleasure hold to play with Laertes , or that you will take longer time ."
I'll do whatever the king wants .,I am constant to my purpose .
"If he's ready now , so am I .",They follow the king's pleasure .
"Otherwise , I'll do it anytime , as long as I'm able .","If his fitness speaks , mine is ready , now or whensoever , provided I be so able as now ."
The king and queen are coming down with everyone else .,The king and queen and all are coming down .
Right on cue .,In happy time .
"The queen wants you to chat with Laertes , politely , before you begin your match .",The queen desires you to use some gentle entertainment to Laertes before you fall to play .
She's full of good advice .,She well instructs me .
"You're going to lose this bet , my lord .","You will lose this wager , my lord ."
I don't think so .,I do not think so .
I've been practicing fencing constantly since he went off to France .,"Since he went into France , I have been in continual practice ."
"With the handicap they've given me , I think I'll win .",I shall win at the odds .
But I have a sinking feeling anyway .,But thou wouldst not think how ill all's here about my heart .
Oh well .,But it is no matter .
I'll say you're not feeling well .,I will forestall their repair hither and say you are not fit .
You'll do no such thing .,Not a whit .
I thumb my nose at superstitions .,We defy augury .
What's important is to be prepared .,"If it be not to come , it will be now ."
"Since nobody knows anything about what he leaves behind , then what does it mean to leave early ?","Since no man of aught he leaves knows , what is 't to leave betimes ?"
Let it be .,Let be .
"Come shake hands with Laertes , Hamlet .","Come , Hamlet , come , and take this hand from me ."
I will accept no apology until experts in matters of honor show me how to make peace with you without staining my own reputation in doing so .,"But in my terms of honor I stand aloof , and will no reconcilement Till by some elder masters , of known honor , I have a voice and precedent of peace To keep my name ungored ."
"Yes , hand me one too .","Come , one for me ."
"I'm going to make you look sharp , Laertes .","I'll be your foil , Laertes ."
You're making fun of me .,"You mock me , sir ."
"No , I swear I'm not .","No , by this hand ."
"Yes , my lord , quite well .","Very well , my lord ."
You've bet on the weaker fencer .,Your grace hath laid the odds o ' th ' weaker side .
I've seen both of you fence .,I have seen you both .
"But since Laertes is better , we've given him a handicap .",But since he is better we have therefore odds .
"Yes , my lord .","Ay , my good lord ."
Put the goblets of wine on that table .,Set me the stoups of wine upon that table .
"If Hamlet makes the first or second hit , or gets back at Laertes by making the third hit , then let my soldiers give him a military salute .","If Hamlet give the first or second hit Or quit in answer of the third exchange , Let all the battlements their ordnance fire !"
"I'll drink to Hamlet's health , and into his goblet I'll drop a pearl even more costly than those in the crowns of the last four Danish kings .","The king shall drink to Hamlet's better breath , And in the cup an union shall he throw Richer than that which four successive kings In Denmark's crown have worn ."
Give me the goblets .,Give me the cups .
"Come on , sir .","Come on , sir ."
"Come on , my lord .","Come , my lord ."
That was one hit .,One .
"No , it wasn't .",No .
Referee !,Judgment ?
It was obviously a hit .,"A hit , a very palpable hit ."
"Well , let's go on .","Well , again ."
"Give me a goblet. , Hamlet , this pearl's yours .","Stay , give me drink. , Hamlet , this pearl is thine ."
Here's to your health .,Here's to thy health .
Give him the goblet .,Give him the cup .
Set it down awhile .,Set it by a while .
Let's play .,Come .
Another hit .,Another hit .
What do you say ?,What say you ?
"You got me , I admit it .","A touch , a touch , I do confess 't ."
My son will win .,Our son shall win .
"He's flabby and out of breath. , Here , Hamlet , take my handkerchief and wipe your forehead .","He's fat , and scant of breath. , Here , Hamlet , take my napkin , rub thy brows ."
"The queen drinks to your good luck and happiness , Hamlet .","The queen carouses to thy fortune , Hamlet ."
"Thank you , madam .",Good madam .
"Gertrude , don't drink that .","Gertrude , do not drink ."
Excuse me .,"I will , my lord ."
I'll drink it if I like .,"I pray you , pardon me ."
I'd better not drink now .,"I dare not drink yet , madam ."
I'll drink later .,By and by .
"Come on , let me wipe your face .","Come , let me wipe thy face ."
I doubt it .,I do not think 't .
"Get ready for the third hit , Laertes .","Come , for the third , Laertes ."
You're just playing around .,You do but dally .
"Come on , give me your best shot .","I pray you , pass with your best violence ."
I sense you're treating me like a child .,I am afeard you make a wanton of me .
You think so ?,Say you so ?
Come on .,Come on .
Take this !,Have at you now !
Separate them .,Part them !
They're overdoing it .,They are incensed .
"No , come on , one more time .","Nay , come , again ."
Take care of the queen !,"Look to the queen there , ho !"
"Both fencers are bleeding , how do you feel , my lord ?","They bleed on both sides. , How is it , my lord ?"
"How do you feel , Laertes ?","How is 't , Laertes ?"
"Like a mouse caught in my own trap , Osric .","Why , as a woodcock to mine own springe , Osric ."
How's the queen ?,How does the queen ?
She fainted at the sight of them bleeding .,She swoons to see them bleed .
"The drink , the drink !","The drink , the drink !"
I've been poisoned .,I am poisoned .
"Oh , what evil !",O villainy !
Lock the door .,"Ho , let the door be locked ."
We've been betrayed !,Treachery !
Find out who did it !,Seek it out .
"I'm the one , Hamlet .","It is here , Hamlet ."
"Hamlet , you're dead .","Hamlet , thou art slain ."
No medicine in the world can cure you .,No medicine in the world can do thee good .
You don't have more than half an hour to live .,In thee there is not half an hour of life .
"The treacherous weapon is right in your hand , sharp and dipped in poison .","The treacherous instrument is in thy hand , Unbated and envenomed ."
The foul plan backfired on me .,The foul practice Hath turned itself on me .
Here I lie and will never get up again .,"Lo , here I lie , Never to rise again ."
Your mother's been poisoned .,Thy mother's poisoned .
I can't speak anymore .,I can no more .
"The king , the king's to blame .","The king , the king's to blame ."
"Then get to work , poison !","The point envenomed too ! , Then , venom , to thy work ."
"Sir , I think I saw him last night .","My lord , I think I saw him yesternight ."
Saw who ?,Saw who ?
The king my father ? !,The king my father ? !
"Just listen carefully while I tell you the amazing thing I saw , with these gentlemen as witnesses .","Season your admiration for a while With an attent ear , till I may deliver , Upon the witness of these gentlemen , This marvel to you ."
"For God's sake , let me hear it .","For God's love , let me hear ."
"After midnight , for two nights running , these two guards , Marcellus and Barnardo , saw a figure that looked very much like your father , in full armor from head to toe .","Two nights together had these gentlemen , Marcellus and Barnardo , on their watch , In the dead waste and middle of the night , Been thus encountered : a figure like your father , Armed at point exactly , cap-a-pie , Appears before them and with solemn march Goes slow and stately by them ."
"It just appeared before them and marched past them with slow dignity three times , a staff's distance from their amazed eyes , while they turned , quaking with fear and too shocked to speak .","Thrice he walked By their oppressed and fear-surprised eyes Within his truncheon's length , whilst they , distilled Almost to jelly with the act of fear , Stand dumb and speak not to him ."
I knew your father .,I knew your father .
But where did this happen ?,But where was this ?
Treason !,Treason !
Treason !,Treason !
"Protect me , my friends .","O , yet defend me , friends ."
"I've only been hurt , not killed .",I am but hurt .
"Here , you goddamn incest-breeding Danish murderer , drink this .","Here , thou incestuous , murderous , damned Dane , Drink off this potion ."
Is your little pearl in there ?,Is thy union here ?
Follow my mother .,Follow my mother .
He got what he deserved .,He is justly served .
He mixed that poison himself .,It is a poison tempered by himself .
"Please forgive me as I forgive you , Hamlet .","Exchange forgiveness with me , noble Hamlet ."
"You're not responsible for my death and my father's , and I'm not responsible for yours .","Mine and my father's death come not upon thee , Nor thine on me ."
God will free you from blame .,Heaven make thee free of it .
You're alive .,Thou livest .
Not for a second .,Never believe it .
I'm more like an ancient Roman than a corrupt modern Dane .,I am more an antique Roman than a Dane .
Some of this liquor's still left in the goblet .,Here's yet some liquor left .
"Please , give me that goblet , if you love me .","As thou'rt a man , Give me the cup ."
Let go of it !,Let go !
"I'll get it from you , I swear .","By heaven , I'll have 't ."
"Oh God , Horatio , what a damaged reputation I'm leaving behind me , as no one knows the truth .","O God , Horatio , what a wounded name , Things standing thus unknown , shall live behind me !"
"If you ever loved me , then please postpone the sweet relief of death awhile , and stay in this harsh world long enough to tell my story .","If thou didst ever hold me in thy heart Absent thee from felicity a while , And in this harsh world draw thy breath in pain To tell my story ."
What are these warlike noises ?,What warlike noise is this ?
"Young Fortinbras , returning in triumph from Poland , is firing his guns to greet the English ambassadors .","Young Fortinbras , with conquest come from Poland , To th ' ambassadors of England gives This warlike volley ."
"Oh , I'm dying , Horatio !","O , I die , Horatio ."
This strong poison's overpowering me .,The potent poison quite o'ercrows my spirit .
I will not live to hear the news from England .,I can not live to hear the news from England .
But I bet Fortinbras will win the election to the Danish crown .,But I do prophesy the election lights On Fortinbras .
He's got my vote as I die .,He has my dying voice .
"Oh , oh , oh , oh .","O , O , O , O ."
What do I see here ?,Where is this sight ?
What would you like to see ?,What is it ye would see ?
These corpses suggest mayhem .,This quarry cries on havoc .
"Oh , proud Death , what banquet are you preparing that you've needed to knock off so many princes at one stroke ?","O proud death , What feast is toward in thine eternal cell , That thou so many princes at a shot So bloodily hast struck ?"
This is a horrible sight .,"The sight is dismal , And our affairs from England come too late ."
"We meant to tell the king that his orders have been carried out , and Rosencrantz and Guildenstern are dead .","The ears are senseless that should give us hearing , To tell him his commandment is fulfilled , That Rosencrantz and Guildenstern are dead ."
Who will thank us now ?,Had it th ' ability of life to thank you .
"As for me , I welcome my good luck with sadness .","For me , with sorrow I embrace my fortune ."
Let four captains carry Hamlet like a soldier onto the stage .,"Let four captains Bear Hamlet like a soldier to the stage , For he was likely , had he been put on , To have proved most royally ."
Military music and military rites will speak for his heroic qualities .,"And , for his passage , The soldiers ' music and the rites of war Speak loudly for him ."
Pick up the corpses .,Take up the bodies .
"On the platform where we stand guard , sir .","My lord , upon the platform where we watch ."
Didn't you talk to it ?,Did you not speak to it ?
"I did , sir , but it didn't answer me .","My lord , I did , But answer made it none ."
That's very strange .,Tis very strange .
"I swear to God it's true , sir .","As I do live , my honored lord , 'tis true ."
We thought you ought to know about it .,And we did think it writ down in our duty To let you know of it .
"Yes , I should know , but it disturbs me .","Indeed , indeed , sirs , but this troubles me ."
Are you on duty again tonight ?,Hold you the watch tonight ?
"Yes , sir .","We do , my lord ."
"It was armed , you say ?","Armed , say you ?"
"Armed , sir .","Armed , my lord ."
From head to toe ?,From top to toe ?
"Yes , from top to bottom , sir .","My lord , from head to foot ."
"So you couldn't see his face , then ?",Then saw you not his face ?
"Oh , yes , we could , sir .","Oh yes , my lord ."
He had his helmet visor up .,He wore his beaver up .
Was he pale or flushed and red-faced ?,Pale or red ?
"Very pale , sir .","Nay , very pale ."
Did he stare at you ?,And fixed his eyes upon you ?
The whole time .,Most constantly .
I wish I'd been there .,I would I had been there .
Did it stay a long time ?,Stayed it long ?
About as long as it would take someone to count slowly to a hundred .,While one with moderate haste might tell a hundred .
"No , longer than that .","Longer , longer ."
Not the time I saw it .,Not when I saw 't .
"His beard was gray , right ?","His beard was grizzled , no ?"
"It was just like in real life , dark brown with silver whiskers in it .","It was , as I have seen it in his life , A sable silvered ."
I'll stand guard with you tonight .,I will watch tonight .
Maybe it'll come again .,Perchance 'Twill walk again .
I bet it will .,I warrant it will .
"If it looks like my good father , I'll speak to it , even if Hell itself opens up and tells me to be quiet .","If it assume my noble father's person , I'll speak to it , though Hell itself should gape And bid me hold my peace ."
"I ask you , if you've kept this a secret , keep doing so .","I pray you all , If you have hitherto concealed this sight , Let it be tenable in your silence still ."
"Whatever happens tonight , don't talk about it .","And whatsoever else shall hap tonight , Give it an understanding , but no tongue ."
I'll return the favor .,I will requite your loves .
So good-bye for now .,So fare you well .
I'll see you on the guards ' platform between eleven and twelve tonight .,"Upon the platform , 'twixt eleven and twelve , I'll visit you ."
"We'll do our duty to you , sir .",Our duty to your honor .
"Give me your love instead , as I give you mine .","Your loves , as mine to you ."
Good-bye .,Farewell .
"My father's ghost , armed !",My father's spirit in arms .
Something's wrong .,All is not well .
I suspect some foul play .,I doubt some foul play .
I wish the night were here already !,Would the night were come !
"Until then , I have to remain calm .","Till then sit still , my soul ."
"Bad deeds will be revealed , no matter how people try to hide them .","Foul deeds will rise , Though all the earth o'erwhelm them , to men's eyes ."
My belongings are on the ship already .,My necessaries are embarked .
Good-bye .,Farewell .
"And , my dear sister , as long as the winds are blowing and ships are sailing , let me hear from you , write .","And , sister , as the winds give benefit And convey is assistant , do not sleep , But let me hear from you ."
Do you doubt I'll write ?,Do you doubt that ?
"As for Hamlet and his attentions to you , just consider it a big flirtation , the temporary phase of a hot-blooded youth .","For Hamlet and the trifling of his favor , Hold it a fashion and a toy in blood , A violet in the youth of primy nature , Forward , not permanent , sweet , not lasting , The perfume and suppliance of a minute ."
It won't last .,No more .
Not a second more .,No more but so ?
No more than a minute ?,Think it no more .
Then think about how shameful it would be for you to give in to his seductive talk and surrender your treasure chest to his greedy hands .,"Then weigh what loss your honor may sustain If with too credent ear you list his songs , Or lose your heart , or your chaste treasure open To his unmastered importunity ."
"Watch out , Ophelia .","Fear it , Ophelia ."
"Just keep your love under control , and don't let yourself become a target of his lust .","Fear it , my dear sister , And keep you in the rear of your affection , Out of the shot and danger of desire ."
Baby blooms are most susceptible to disease .,"And in the morn and liquid dew of youth , Contagious blastments are most imminent ."
So be careful .,"Be wary , then ."
Fear will keep you safe .,Best safety lies in fear .
Young people often lose their self-control even without any help from others .,"Youth to itself rebels , though none else near ."
I'll keep your words of wisdom close to my heart .,I shall the effect of this good lesson keep As watchman to my heart .
"Don't worry , I won't .","O , fear me not ."
I've been here too long .,I stay too long .
And here comes father .,But here my father comes .
You're still here ?,"Yet here , Laertes ?"
"Shame on you , get on board !","Aboard , aboard , for shame !"
"The wind is filling your ship's sail , and they're waiting for you .",The wind sits in the shoulder of your sail And you are stayed for .
"Here , I give you my blessing again .","There , my blessing with thee ."
And just try to remember a few rules of life .,And these few precepts in thy memory Look thou character .
"Don't say what you're thinking , and don't be too quick to act on what you think .","Give thy thoughts no tongue , Nor any unproportioned thought his act ."
Be friendly to people but don't overdo it .,Be thou familiar but by no means vulgar .
"Don't be quick to pick a fight , but once you're in one , hold your own .","Beware Of entrance to a quarrel , but being in , Bear 't that th ' opposed may beware of thee ."
"Listen to many people , but talk to few .",Give every man thy ear but few thy voice .
"Hear everyone's opinion , but reserve your judgment .",Take each man's censure but reserve thy judgment .
"Good-bye , son .",Farewell .
Your servants are waiting .,Your servants tend .
"It's locked away in my memory , and you've got the key .","Tis in my memory locked , And you yourself shall keep the key of it ."
Good-bye .,Farewell .
"What did he tell you , Ophelia ?","What is 't , Ophelia , he hath said to you ?"
Something about Hamlet .,"So please you , something touching the Lord Hamlet ."
"If things are the way people tell me they are , and they're only telling me this to warn me , then I have to say , you're not conducting yourself with the self-restraint a daughter of mine should show .","If it be so as so 'tis put on me , And that in way of caution , I must tell you , You do not understand yourself so clearly As it behooves my daughter and your honor ."
What's going on between you two ?,What is between you ?
Tell me the truth .,Give me up the truth .
He's offered me a lot of affection lately .,"He hath , my lord , of late made many tenders Of his affection to me ."
"Affection ! "" That's nothing !",Affection !
You're talking like some innocent girl who doesn't understand the ways of the world .,"Pooh , you speak like a green girl , Unsifted in such perilous circumstance ."
"Do you believe his ""offers , "" as you call them ?","Do you believe his ""tenders , "" as you call them ?"
"I don't know what to believe , father .","I do not know , my lord , what I should think ."
Then I'll tell you .,"Marry , I'll teach you ."
"Believe that you are a foolish little baby for believing these ""offers"" are something real .","Think yourself a baby That you have ta'en these tenders for true pay , Which are not sterling ."
"Offer yourself more respect , or , not to beat this word to death , you'll offer me the chance to be a laughing-stock .","Tender yourself more dearly , Or , not to crack the wind of the poor phrase , Running it thus , you'll tender me a fool ."
Go on .,"Go to , go to ."
"And he's made the holiest vows to me , to back up what he says .","And hath given countenance to his speech , my lord , With almost all the holy vows of heaven ."
These vows are just traps for stupid birds .,"Ay , springes to catch woodcocks ."
"I know when a man is on fire , he'll swear anything .","I do know , When the blood burns , how prodigal the soul Lends the tongue vows ."
Remember that Hamlet is young and has a lot more freedom to fool around than you do .,"For Lord Hamlet , Believe so much in him that he is young , And with a larger tether may he walk Than may be given you ."
Do as I say .,"Look to 't , I charge you ."
Now come along .,Come your ways .
"I'll do as you say , father .","I shall obey , my lord ."
Friends of this country .,Friends to this ground .
And servants of the Danish king .,And liegemen to the Dane .
Good night to you both .,Give you good night .
Good-bye .,"O , farewell , honest soldier ."
Who's taken over the watch for you ?,Who hath relieved you ?
Barnardo's taken my place .,Barnardo has my place .
Good night .,Give you good night .
Is Horatio here too ?,"Say what , is Horatio there ?"
More or less .,A piece of him .
"So , tell us , did you see that thing again tonight ?","What , has this thing appeared again tonight ?"
I haven't seen anything .,I have seen nothing .
"Horatio says we're imagining it , and won't let himself believe anything about this horrible thing that we've seen twice now .",Horatio says 'tis but our fantasy And will not let belief take hold of him Touching this dreaded sight twice seen of us .
"That's why I've begged him to come on our shift tonight , so that if the ghost appears he can see what we see and speak to it .","Therefore I have entreated him along With us to watch the minutes of this night , That if again this apparition come He may approve our eyes and speak to it ."
"Yes , it's definitely nippy .",It is a nipping and an eager air .
What time is it ?,What hour now ?
"A little before twelve , I think .",I think it lacks of twelve .
"No , it's just after twelve ; I heard the clock strike .","No , it is struck ."
Really ?,Indeed ?
I didn't hear it .,I heard it not .
So it's nearly the time when the ghost likes to appear .,It then draws near the season Wherein the spirit held his wont to walk .
"What does that mean , sir ?","What does this mean , my lord ?"
Is that a tradition ?,Is it a custom ?
"Yes , it is .","Ay , marry , is 't ."
"But though I was born here and should consider that tradition part of my own heritage , I think it would be better to ignore it than practice it .","But to my mind , though I am native here And to the manner born , it is a custom More honored in the breach than the observance ."
Other countries criticize us for our loud partying .,This heavy-headed revel east and west Makes us traduced and taxed of other nations .
They call us drunks and insult our noble titles .,They clepe us drunkards and with swinish phrase Soil our addition .
"And our drunkenness does detract from our achievements , as great as they are , and lessens our reputations .","And indeed it takes From our achievements , though performed at height , The pith and marrow of our attribute ."
A tiny spot of evil casts doubt on their good qualities and ruins their reputations .,The dram of evil Doth all the noble substance of a doubt To his own scandal .
"Look , sir , here it comes !","Look , my lord , it comes !"
"Oh angels , protect us !",Angels and ministers of grace defend us !
"Whether you're a good spirit or a cursed demon , whether you bring heavenly breezes or blasts of hell fire , whether your intentions are good or evil , you look so strange I want to talk to you .","Be thou a spirit of health or goblin damned , Bring with thee airs from heaven or blasts from hell , Be thy intents wicked or charitable , Thou comest in such a questionable shape That I will speak to thee ."
"I'll call you ""Hamlet Senior , "" ""King , "" ""Father , "" ""royal Dane."" Answer me !","I'll call thee ""Hamlet , "" ""King , "" ""Father , "" ""royal Dane."" O , answer me !"
"Don't drive me crazy with curiosity , but tell me why your church-buried bones have burst out of their coffin , and why your tomb ,","Let me not burst in ignorance , but tell Why thy canonized bones , hearsed in death , Have burst their cerements ; why the sepulcher ,"
"where we quietly buried you , has opened up its heavy marble jaws to spit you out again .","Wherein we saw thee quietly interred , Hath oped his ponderous and marble jaws To cast thee up again ."
Why ?,Wherefore ?
"It wants you to go off with it , as if it wants to tell you something alone .","It beckons you to go away with it , As if it some impartment did desire To you alone ."
Look how politely it's pointing you to a place that's farther away .,"Look , with what courteous action It waves you to a more removed ground ."
But don't go .,But do not go with it .
Definitely not .,"No , by no means ."
"Don't do it , sir .","Do not , my lord ."
"Why , what's the danger ?","Why , what should be the fear ?"
"And as for my soul , how can the ghost endanger that , since it's as immortal as the ghost is ?","I do not set my life in a pin's fee , And for my soul , what can it do to that , Being a thing immortal as itself ?"
"Look , it's waving me over again .",It waves me forth again .
I'll follow it .,I'll follow it .
where it takes on some other horrible form that drives you insane .,"And there assume some other horrible form , Which might deprive your sovereignty of reason And draw you into madness ?"
Think about it .,Think of it .
It's still waving to me .,It waves me still .
"You're not going , sir .","You shall not go , my lord ."
Let go of me .,Hold off your hands .
Calm down .,Be ruled .
You're not going anywhere .,You shall not go .
"Let me go , gentlemen .","Still am I called. , Unhand me , gentlemen ."
"I swear , if anyone holds me back , I'll make a ghost of him !","By heaven , I'll make a ghost of him that lets me ."
His imagination is making him crazy .,He waxes desperate with imagination .
Let's follow them .,Let's follow .
It's not right to obey his orders to let him go alone .,Tis not fit thus to obey him .
"No , let's follow him .","Nay , let's follow him ."
Where are you taking me ?,Where wilt thou lead me ?
Speak .,"Speak , I'll go no further ."
Listen to me .,Mark me .
I will .,I will .
The hour has almost come when I have to return to the horrible flames of purgatory .,My hour is almost come When I to sulfurous and tormenting flames Must render up myself .
"Ah , poor ghost !","Alas , poor ghost !"
Speak .,Speak .
I'm ready to hear you .,I am bound to hear .
"You must be ready for revenge , too , when you hear me out .",So art thou to revenge when thou shalt hear .
What ?,What ?
"I'm the ghost of your father , doomed for a certain period of time to walk the earth at night , while during the day I'm trapped in the fires of purgatory until I've done penance for my past sins .","I am thy father's spirit , Doomed for a certain term to walk the night And for the day confined to fast in fires , Till the foul crimes done in my days of nature Are burnt and purged away ."
If I weren't forbidden to tell you the secrets of,"But that I am forbid To tell the secrets of my prison house , I could a tale unfold whose lightest word Would harrow up thy soul , freeze thy young blood ,"
"make your eyes jump out of their sockets , and your hair stand on end like porcupine quills .","Make thy two eyes , like stars , start from their spheres , Thy knotted and combined locks to part And each particular hair to stand on end , Like quills upon the fearful porpentine ."
But mortals like you aren't allowed to hear this description of the afterlife .,But this eternal blazon must not be To ears of flesh and blood .
"Listen , listen !","List , list , O , list !"
"If you ever loved your poor dear father , Oh God !","If thou didst ever thy dear father love , O God !"
"Take revenge for his horrible murder , that crime against nature .",Revenge his foul and most unnatural murder .
Murder ?,Murder ?
His most horrible murder .,"Murder most foul , as in the best it is ."
"Murder's always horrible , but this one was especially horrible , weird , and unnatural .","But this most foul , strange and unnatural ."
You'd have to be as lazy as a weed on the shores of I knew it !,"Haste me to know 't , that I , with wings as swift As meditation or the thoughts of love , May sweep to my revenge ."
My uncle ?,My uncle ?
"Oh , Hamlet , how far she fell !","O Hamlet , what a falling off was there !"
