,input,target
3502,Here is the price.,Here is thy fee .
3503,"Arrest him, officer.","Arrest him , officer ."
3504,I would not spare my brother in this situation.,I would not spare my brother in this case If he should scorn me so apparently .
3505,"I am going to arrest you, sir.","I do arrest you , sir ."
3506,You can hear the suit.,You hear the suit .
3507,I will obey until I give thee bail.,I do obey thee till I give thee bail .
3508,"Sirrah, you will buy this sport as dear as the metal in your shop will answer.","But , sirrah , you shall buy this sport as dear As all the metal in your shop will answer ."
3509,"I will have law in Ephesus, sir, I doubt it not, you are notorious for that.","Sir , sir , I will have law in Ephesus , To your notorious shame , I doubt it not ."
3510,"The old man said ""nay, forward""","Nay , forward , old man ."
3511,"Don't break off so, we may pity you, but not pardon thee.","Do not break off so , For we may pity though not pardon thee ."
3512,"Had the gods done that, I wouldn't have called them merciless to us.","O , had the gods done so , I had not now Worthily termed them merciless to us ."
3513,Have you heard that my life was ruined by misfortunes and that I had to tell sad stories of my own misfortunes?,Thus have you heard me severed from my bliss ; That by misfortunes was my life prolonged To tell sad stories of my own mishaps .
3514,"For the sake of them, I would like to dilate at full speed, until now.","And for the sake of them thou sorrowest for , Do me the favour to dilate at full What hath befall'n of them and thee till now ."
3515,"I have bought The oil, the balsamum and aqua vitae, sir, and I have conveyed our fraughtage to you.","Our fraughtage , sir , I have conveyed aboard , and I have bought The oil , the balsamum and aqua vitae ."
3516,"What ship of Epidamnum stays for me, peevish sheep.","Why , thou peevish sheep , What ship of Epidamnum stays for me ?"
3517,You sent me to a ship to hire a masseuse.,"A ship you sent me to , to hire waftage ."
3518,I sent the drunken slave for a rope and told him what to do with it.,"Thou drunken slave , I sent thee for a rope And told thee to what purpose and what end ."
3519,"As soon as possible, you sent me for a rope.",You sent me for a rope's end as soon .
3520,"You sent me to the bay, sir, for a bark.","You sent me to the bay , sir , for a bark ."
3521,"I will debate this matter at more leisure, and teach you to list me with more heed.",I will debate this matter at more leisure And teach your ears to list me with more heed .
3522,"To the bad guy, hie thee straight.","To Adriana , villain , hie thee straight ."
3523,"Give her this key, and tell her in the desk that there is a purse of ducats.","Give her this key , and tell her in the desk That's cover'd o'er with Turkish tapestry There is a purse of ducats ."
3524,Allow her to send it.,Let her send it .
3525,Tell her that I have been arrested in the street and that will bail me out.,"Tell her I am arrested in the street , And that shall bail me ."
3526,I am the slave.,"Hie thee , slave ."
3527,"Begone, officer, to prison until it arrives.","Begone. , On , officer , to prison till it come ."
3528,To the person named Adriana.,To Adriana .
3529,That is where we ate and where she claimed me for her husband.,"That is where we dined , Where Dowsabel did claim me for her husband ."
3530,I hope she is too big for me to compass.,"She is too big , I hope , for me to compass ."
3531,"Although against my will, I must, for servants must their masters fulfill their minds.","Thither I must , although against my will , For servants must their masters ' minds fulfill ."
3532,"Luciana, did he try to lure you so?","Ah , Luciana , did he tempt thee so ?"
3533,"Did you look at him, or was he sad or happy?","Looked he or red or pale , or sad or merrily ?"
3534,He denied that you had a relationship with him.,First he denied you had in him no right .
3535,"The more my spite, he meant he did me nothing.",He meant he did me none ; the more my spite .
3536,He swore that he was not familiar with this place.,Then swore he that he was a stranger here .
3537,Then I pleaded with you.,Then pleaded I for you .
3538,And what did he say?,And what said he ?
3539,"He begged of me, that love I begged for you.",That love i begged for you he begged of me .
3540,What persuasion did he use to get her to fall in love with him.,With what persuasion did he tempt thy love ?
3541,I would like to ask for patience.,"Have patience , I beseech ."
3542,Who would be jealous of such a person.,"Who would be jealous , then , of such a one ?"
3543,"When evil is gone, it is not wailed.",No evil lost is wailed when it is gone .
3544,"Ah, but I think he's better than I think, and yet others would see it differently.","Ah , but I think him better than I say , And yet would herein others ' eyes were worse ."
3545,"My tongue does curse, but my heart is praying for him.","My heart prays for him , though my tongue do curse ."
3546,How did you lose your breath?,How hast thou lost thy breath ?
3547,By running quickly.,By running fast .
3548,"Dromio, where is your master?","Where is thy master , Dromio ?"
3549,Is he doing well?,Is he well ?
3550,"He's in Tartar limbo, which is worse than hell.","No , he's in Tartar limbo , worse than hell ."
3551,A hound that runs counter and yet draws dryfoot well is one that before the judgement carries poor souls to hell.,"The passages of alleys , creeks , and narrow lands ; A hound that runs counter and yet draws dryfoot well , One that before the judgment carries poor souls to hell ."
3552,"Why, man, what is the matter?","Why , man , what is the matter ?"
3553,Tell me which suit you are talking about.,Tell me at whose suit .
3554,"I don't know who he is arrested by, but he's in a suit of buff, and that's what I can tell you.","I know not at whose suit he is arrested well , But he's in a suit of buff which 'rested him ; that can I tell ."
3555,"Go retrieve it, sister.","Go fetch it , sister ."
3556,I wonder if he should be in debt because he is unknown to me.,"This I wonder at , That he , unknown to me , should be in debt ."
3557,Do you not hear it ringing?,Do you not hear it ring ?
3558,What about the chain.,"What , the chain ?"
3559,The bell was not answered.,"No , no , the bell ."
3560,It was time for me to be gone.,Tis time that I were gone .
3561,The clock strikes one now because I left him two times.,"It was two ere I left him , and now the clock strikes one ."
3562,That did not come up for me.,That did I never hear .
3563,Excellent job well done.,Excellent well .
3564,You work at a fishmonger.,You are a fishmonger .
3565,"I am not, my lord.","Not I , my lord ."
3566,I would think that you were so honest.,Then I would you were so honest a man .
3567,"My lord, was it honest?","Honest , my lord ?"
3568,"Sir, Ay.","Ay , sir ."
3569,"As this world goes, it is only one man who is picked out of ten thousand.","To be honest , as this world goes , is to be one man picked out of ten thousand ."
3570,"That's correct, my lord.","That's very true , my lord ."
3571,"Have you a daughter, if the sun breed flies in a dead dog, and you are a good kisser of carrion.","For if the sun breed maggots in a dead dog , being a good kissing carrion , Have you a daughter ?"
3572,"I have, my lord, I have.","I have , my lord ."
3573,She shouldn't walk on the sun.,Let her not walk i ' th ' sun .
3574,"As your daughter may have a baby, look to 't, it is a blessing.","Conception is a blessing , but , as your daughter may conceive , Friend , look to 't ."
3575,"Words, words, words.","Words , words , words ."
3576,"What is the matter, my lord?","What is the matter , my lord ?"
3577,Between who and what?,Between who ?
3578,I am referring to the matter that you read.,"I mean , the matter that you read , my lord ."
3579,Slanders and sir.,"Slanders , sir ."
3580,I'm into my grave.,Into my grave .
3581,That is out of the ordinary.,"Indeed , that is out of the air ."
3582,"You can't take anything from me except my life, except my life, and my life.","You can not , sir , take from me any thing that I will more willingly part withal , except my life , except my life , except my life ."
3583,"My lord, please fare you well.","Fare you well , my lord ."
3584,You are going to look for the Lord Hamlet.,You go to seek the Lord Hamlet .
3585,"There he is, there he is.",There he is .
3586,"Sir, God save you, please!","God save you , sir !"
3587,"My lord, I am honored.",My honored lord !
3588,"My dearest lord, I love you!",My most dear lord !
3589,My friends are very good.,My excellent good friends !
3590,"Guildenstern, how do you do?","How dost thou , Guildenstern ?"
3591,"Ah, Rosencrantz, I love you!","Ah , Rosencrantz !"
3592,"Good boys, how do you both?","Good lads , how do you both ?"
3593,"Happy, in that we are not over happy.","Happy , in that we are not overhappy ."
3594,"On Fortune's cap, we are not the very button.",On Fortune's cap we are not the very button .
3595,Then you live in the middle of her favors or about her waist?,"Then you live about her waist , or in the middle of her favors ?"
3596,"Her privates we, Faith.","Faith , her privates we ."
3597,What is the latest news?,What news ?
3598,Your news is not accurate.,But your news is not true .
3599,I would like to ask more questions in particular.,Let me question more in particular .
3600,"My good friends, what do you think you deserved when she sends you to prison hither?","What have you , my good friends , deserved at the hands of fortune that she sends you to prison hither ?"
3601,"My lord, are you in the prison?","Prison , my lord ?"
3602,There is a prison in Denmark.,Denmark's a prison .
3603,Is the world a single place?,Then is the world one .
3604,"In which there are many confines, wards, and dungeons, and in which it is one of the worst countries in the world.","A goodly one , in which there are many confines , wards , and dungeons , Denmark being one o ' th ' worst ."
3605,"We don't think that is the case, my lord.","We think not so , my lord ."
3606,"There is nothing either good or bad, but thinking makes it so, so why?","Why , then , 'tis none to you , for there is nothing either good or bad , but thinking makes it so ."
3607,I think it is a prison.,To me it is a prison .
3608,It is one because of your ambition.,"Why then , your ambition makes it one ."
3609,It's too narrow for your thinking.,Tis too narrow for your mind .
3610,The shadow of a dream is the very substance of the ambitious.,"Which dreams indeed are ambition , for the very substance of the ambitious is merely the shadow of a dream ."
3611,A dream is not a full one.,A dream itself is but a shadow .
3612,I hold ambition of so airy and light a quality that it is a shadow's shadow.,"Truly , and I hold ambition of so airy and light a quality that it is but a shadow's shadow ."
3613,Our monarchs and outstretched heroes are the shadows of the beggars.,"Then are our beggars bodies , and our monarchs and outstretched heroes the beggars ' shadows ."
3614,We should go to the court.,Shall we to th ' court ?
3615,"I am poor in thanks, but I thank you, dear friends, my thanks are too small a halfpenny.","Beggar that I am , I am even poor in thanks ; but I thank you , and sure , dear friends , my thanks are too dear a halfpenny ."
3616,Is that your own inclining?,Is it your own inclining ?
3617,What should we say to my lord?,"What should we say , my lord ?"
3618,"There is a kind of confession in your looks which your modesties have not craft enough to color, because you were sent for.","You were sent for , and there is a kind of confession in your looks which your modesties have not craft enough to color ."
3619,The good king and queen have sent a message for you.,I know the good king and queen have sent for you .
3620,"My lord, what do you mean by what end?","To what end , my lord ?"
3621,That you have to teach me.,That you must teach me .
3622,"My lord, we were sent for something.","My lord , we were sent for ."
3623,"Doth make the night joint with the day, what might be the reason for that?","What might be toward , that this sweaty haste Doth make the night joint laborer with the day ?"
3624,Who can tell me what's going on?,Who is 't that can inform me ?
3625,That can be something I can do.,That can I .
3626,I will tell you the reason.,I will tell you why .
3627,"Why did you laugh when I said ""man delights not me""?","Why did you laugh then , when I said ""man delights not me"" ?"
3628,The person that plays the king will be welcomed.,He that plays the king shall be welcome .
3629,"The adventurous knight will use his foil and target, the lover will not sigh, the humorous man will end his part in peace, and the lady will say her mind is free.","The adventurous knight shall use his foil and target , the lover shall not sigh gratis , the humorous man shall end his part in peace , the clown shall make those laugh whose lungs are tickle o ' th ' sear , and the lady shall say her mind freely , or the blank verse shall halt for 't ."
3630,Which players are they?,What players are they ?
3631,The tragedians of the city were not going to take pleasure in that.,"Even those you were wont to take delight in , the tragedians of the city ."
3632,What chances do they have of traveling?,How chances it they travel ?
3633,"Their residence was better both ways, in reputation and profit.","Their residence , both in reputation and profit , was better both ways ."
3634,The late innovation is believed to be the reason for their inhibition.,I think their inhibition comes by the means of the late innovation .
3635,"When I was in the city, did they have the same estimation?",Do they hold the same estimation they did when I was in the city ?
3636,Is it possible that they are followed?,Are they so followed ?
3637,"Yes, indeed, they are not.","No , indeed are they not ."
3638,How does it come about?,How comes it ?
3639,Do they have rusty hair?,Do they grow rusty ?
3640,Their endeavor keeps going in the right direction.,"Nay , their endeavor keeps in the wonted pace ."
3641,There is an eyrie of children that cry out on the top of the question and are clapped for by the crowd.,"But there is , sir , an eyrie of children , little eyases , that cry out on the top of question and are most tyrannically clapped for 't ."
3642,"These are now the fashion, and so they call them, because many wearing rapiers are afraid of goose quills and dare not come.","These are now the fashion , and so berattle the common stages , so they call them , that many wearing rapiers are afraid of goose quills and dare scarce come thither ."
3643,What are they children?,"What , are they children ?"
3644,Who maintains them?,Who maintains 'em ?
3645,What are they doing?,How are they escoted ?
3646,Will they no longer pursue the quality if they can only sing?,Will they pursue the quality no longer than they can sing ?
3647,"Will they not say if they should grow themselves to common players, as it is most like if their means are no better, if their writers do them wrong?","Will they not say afterwards , if they should grow themselves to common players ( as it is most like if their means are no better ) , their writers do them wrong to make them exclaim against their own succession ?"
3648,"There has been a lot of work done on both sides, and the nation does not want to tar them with controversy.","Faith , there has been much to do on both sides , and the nation holds it no sin to tar them to controversy ."
3649,"For a while, there was no money bid for argument unless the player and the poet went to cuffs.","There was , for a while , no money bid for argument unless the poet and the player went to cuffs in the question ."
3650,Is this possible?,Is 't possible ?
3651,There has been a lot of throwing about of brains.,"Oh , there has been much throwing about of brains ."
3652,The boys are asked if they carry it away.,Do the boys carry it away ?
3653,It is not very strange.,It is not very strange .
3654,Those that would make mouths at my uncle while my father was alive would get a hundred ducats for their picture.,"For my uncle is King of Denmark , and those that would make mouths at him while my father lived give twenty , forty , fifty , a hundred ducats apiece for his picture in little ."
3655,"If philosophy could find it, there is something more than natural about it.","Sblood , there is something in this more than natural , if philosophy could find it out ."
3656,There are people playing.,There are the players .
3657,"Gentlemen, you are welcome in Elsinore.","Gentlemen , you are welcome to Elsinore ."
3658,Bring your hands then.,"Your hands , come then ."
3659,"I want you to comply with me in this garb, so that my extent to the players should be fairly visible, and that it should more appear like entertainment than yours.","Let me comply with you in this garb , lest my extent to the players , which , I tell you , must show fairly outwards , should more appear like entertainment than yours ."
3660,"You are welcome, that's right.",You are welcome .
3661,They are deceived by my uncle- father and aunt- mother.,But my uncle-father and aunt-mother are deceived .
3662,"My dear lord, what are you talking about?","In what , my dear lord ?"
3663,I am mad in the north and west.,I am but mad north-north-west .
3664,I know a hawk from a handsaw when the wind is southerly.,"When the wind is southerly , I know a hawk from a handsaw ."
3665,"Well be with us, gentlemen.","Well be with you , gentlemen ."
3666,"At each ear a hearer, hark you, Guildenstern, and you as well.","Hark you , Guildenstern , and you too , at each ear a hearer ."
3667,"For they say an old man is twice a child, he's the second time they've seen him.","Happily he's the second time come to them , for they say an old man is twice a child ."
3668,"My lord, I have some news to share with you.","My lord , I have news to tell you ."
3669,"My lord, I have some news to share with you.","My lord , I have news to tell you ."
3670,"The actors are come hither, my lord, when Roscius was an actor in Rome.","When Roscius was an actor in Rome , The actors are come hither , my lord ."
3671,There is a buzz about it.,"Buzz , buzz ."
3672,Each actor came on his ass after my honor.,"Upon my honor , Then came each actor on his ass ,"
3673,Is it because I am old Jephthah?,"Why , Am I not i ' th ' right , old Jephthah ?"
3674,"My lord, if you call me Jephthah, I have a daughter that I love passing well.","If you call me Jephthah , my lord , I have a daughter that I love passing well ."
3675,"What happens after that, my lord?","What follows , then , my lord ?"
3676,"Why, why?","Why ,"
3677,"Good friends, I am glad to see you well.","You are welcome , masters , welcome , all ! , I am glad to see thee well. , Welcome , good friends. , O old friend ?"
3678,"My good lord, what speech did you give?","What speech , my good lord ?"
3679,"It was an excellent play that set down with as much modesty as cunning, and its judgments in such matters cried in the top of my head, as I received it.","But it was , as I received it , and others , whose judgments in such matters cried in the top of mine , an excellent play , well digested in the scenes , set down with as much modesty as cunning ."
3680,I liked one speech in it the most.,One speech in it I chiefly loved .
3681,This is very long.,This is too long .
3682,Prithee said that it would be to the barber's with your beard.,"It shall to the barber's , with your beard. , Prithee , say on ."
3683,The queen was mobled by other people.,"The mobled queen"" ?"
3684,That is good.,That's good .
3685,It's good that a mobled queen is good.,"Mobled queen"" is good ."
3686,"He has not turned his color, and he has tears in his eyes.","Look whe'e he has not turned his color and has tears in 's eyes. , Prithee , no more ."
3687,"My lord, I will use them according to the desert.","My lord , I will use them according to their desert ."
3688,God's bodykins are much better than man.,"God's bodykins , man , much better ."
3689,They should be used after your own honor and dignity.,Use them after your own honor and dignity .
3690,"The more merit is in your bounty, the less they deserve.","The less they deserve , the more merit is in your bounty ."
3691,Take them into the store.,Take them in .
3692,"Sirs, come, come.","Come , sirs ."
3693,You should follow him and his friends.,"Follow him , friends ."
3694,Tomorrow we will hear a play.,We'll hear a play tomorrow .
3695,"Ay, my lord.","Ay , my lord ."
3696,"Tomorrow night, we'll have something to say.",We'll ha 't tomorrow night .
3697,"For a need, you could study a speech of some dozen or sixteen lines which I would set down and insert in 't.'","You could , for a need , study a speech of some dozen or sixteen lines which I would set down and insert in 't , could you not ?"
3698,"Ay, my lord.","Ay , my lord ."
3699,"Very well, very well.",Very well .
3700,"Don't mock him, follow that lord and look him in the eye.","Follow that lord , and look you mock him not ."
3701,"My friends, I'll be with you until night.","My good friends , I'll leave you till night ."
3702,You are welcomed to Elsinore.,You are welcome to Elsinore .
3703,"Good lord, good job.",Good my lord .
3704,I am alone now.,Now I am alone .
3705,I am a peasant slave and a rogue one.,"Oh , what a rogue and peasant slave am I !"
3706,"All for nothing, For Hecuba.","And all for nothing , For Hecuba !"
3707,Those foresaid lands were by his father lost.,"And terms compulsatory , those foresaid lands So by his father lost ."
3708,"In the most high and palmy state of Rome, a little Julius fell, The graves stood tenantless and the sheeted dead did not fit in the Roman streets.","In the most high and palmy state of Rome , A little ere the mightiest Julius fell , The graves stood tenantless and the sheeted dead Did squeak and gibber in the Roman streets As stars with trains of fire and dews of blood , Disasters in the sun , and the moist star Upon whose influence Neptune's empire stands Was sick almost to doomsday with eclipse ."
3709,"But soft, you can see it!","But soft , behold !"
3710,Where does it come from again?,"Lo , where it comes again ."
3711,I will cross it even though it hurts me.,"I'll cross it though it blast me. , Stay , illusion !"
3712,Speak to me if you have any sound or use of voice.,"If thou hast any sound or use of voice , Speak to me ."
3713,I wonder if I am a cowardice.,Am I a coward ?
3714,Plucks off my beard and then blows it in my face.,Plucks off my beard and blows it in my face ?
3715,Is it possible that it changes me by the nose?,Tweaks me by the nose ?
3716,Who do I know about this?,Who does me this ?
3717,The bawdy villain was terrible.,"Bloody , bawdy villain !"
3718,The kindless villain is Remorseless.,"Remorseless , treacherous , lecherous , kindless villain !"
3719,O vengeance.,O vengeance !
3720,"I don't know why, what an ass am I?","Why , what an ass am I !"
3721,"Fie upon 't, foh!","Fie upon 't , foh !"
3722,"For murder, though it have no tongue, will speak with the most miraculous organ.","For murder , though it have no tongue , will speak With most miraculous organ ."
3723,I know my course if he does bleNCH.,"If he do blench , I know my course ."
3724,I will have more relative grounds than this.,I'll have grounds More relative than this .
3725,"Wherein I'll catch the conscience of the king, the play is the thing.",The play's the thing Wherein I'll catch the conscience of the king .
3726,"Can you get from him why he puts on this confusion, Grating so harshly all his days of quiet, with turbulent and dangerous lunacy?","And can you by no drift of conference Get from him why he puts on this confusion , Grating so harshly all his days of quiet With turbulent and dangerous lunacy ?"
3727,Did he give you a good reception?,Did he receive you well ?
3728,"Like a gentleman, most of the time.",Most like a gentleman .
3729,"Niggard of question, but of our demands, most free in his reply.","Niggard of question , but of our demands Most free in his reply ."
3730,"It fell out, that certain players were going to go.","Madam , it so fell out , that certain players We o'erraught on the way ."
3731,"I think that they have already ordered this night to play before him, because they are about the court.","They are about the court , And , as I think , they have already order This night to play before him ."
3732,He asked me to appeal to your Majesties to hear and see the matter.,"Tis most true , And he beseeched me to entreat your Majesties To hear and see the matter ."
3733,"With all my heart, and it makes me happy to hear him so enthusiastic.","With all my heart , and it doth much content me To hear him so inclined ."
3734,"Good gentlemen, give him a further edge, and drive his purpose on to these delights.","Good gentlemen , give him a further edge , And drive his purpose on to these delights ."
3735,"My lord, we shall, my friends.","We shall , my lord ."
3736,I promise to obey you.,I shall obey you .
3737,I would like it to happen.,"Madam , I wish it may ."
3738,You can walk here with Ophelia.,"Ophelia , walk you here ."
3739,"Let's withdraw, my lord.","Let's withdraw , my lord ."
3740,"To die, to sleep, No more, and by a sleep shocks to say we end The heartache and the thousand natural That flesh is heir to.","To die , to sleep , No more , and by a sleep to say we end The heartache and the thousand natural shocks That flesh is heir to , 'tis a consummation Devoutly to be wished !"
3741,To die and to sleep.,"To die , to sleep ."
3742,calamity of so long life is due to the respect that makes it.,There's the respect That makes calamity of so long life .
3743,"The oppressor's wrong, the proud man's contumely, the law's delay, the insolence of office, and the spurns that would bear the whips are some of the things that would befall them.","For who would bear the whips and scorns of time , Th ' oppressor's wrong , the proud man's contumely , The pangs of despised love , the law's delay , The insolence of office , and the spurns That patient merit of th ' unworthy takes , When he himself might his quietus make With a bare bodkin ?"
3744,The dread of something after death makes us rather bear those ills we have than fly to others that we do.,"Who would fardels bear , To grunt and sweat under a weary life , But that the dread of something after death , The undiscovered country from whose bourn No traveler returns , puzzles the will And makes us rather bear those ills we have Than fly to others that we know not of ?"
3745,How does your honor for this many a day compare?,"Good my lord , How does your honor for this many a day ?"
3746,I would like to say thank you.,I humbly thank you .
3747,"Well, well, well.","Well , well , well ."
3748,I have remembrances of yours that I have been longing to deliver for a long time.,"My lord , I have remembrances of yours That I have longed long to redeliver ."
3749,I am praying that you will receive them.,I pray you now receive them .
3750,"My lord, there.","There , my lord ."
3751,Are you telling the truth?,"Ha , ha , are you honest ?"
3752,"My lord, what are you saying?",My lord ?
3753,Is it fair that you are fair?,Are you fair ?
3754,What does lordship mean to you?,What means your lordship ?
3755,"If you are honest and fair, your honesty should not talk about your beauty.","That if you be honest and fair , your honesty should admit no discourse to your beauty ."
3756,Is it possible that beauty could have better commerce than honesty?,"Could beauty , my lord , have better commerce than with honesty ?"
3757,"For the power of beauty will transform honesty from what it is to a bawd, than the force of honesty can translate beauty into his likeness.","Ay , truly , for the power of beauty will sooner transform honesty from what it is to a bawd than the force of honesty can translate beauty into his likeness ."
3758,"The time has given it proof, but it was sometime a contradiction.","This was sometime a paradox , but now the time gives it proof ."
3759,I did love you once.,I did love you once .
3760,"You made me believe that, my lord.","Indeed , my lord , you made me believe so ."
3761,I didn't really like you.,I loved you not .
3762,I was deceived more than anyone else.,I was the more deceived .
3763,Get thee to the nunnery.,Get thee to a nunnery .
3764,"I am very proud, revengeful, ambitious, and with more offenses at my beck than I have thoughts to put them in, imagination to give them shape, or time to act them in.","I am very proud , revengeful , ambitious , with more offences at my beck than I have thoughts to put them in , imagination to give them shape , or time to act them in ."
3765,What should I do when I'm between heaven and earth?,What should such fellows as I do crawling between earth and heaven ?
3766,All of us are arrant knaves.,"We are arrant knaves , all ."
3767,None of us believe in ourselves.,Believe none of us .
3768,Go to a nunnery with your friends.,Go thy ways to a nunnery .
3769,Where is your father?,Where's your father ?
3770,"My lord, I am at home.","At home , my lord ."
3771,He may play the fool in his own house if the doors are closed.,"Let the doors be shut upon him , that he may play the fool no where but in 's own house ."
3772,The farewell is over.,Farewell .
3773,"You sweet heavens, help him!","O , help him , you sweet heavens !"
3774,Go and get thee to a nunnery.,"Get thee to a nunnery , go ."
3775,The farewell is over.,Farewell .
3776,The farewell is over.,Farewell .
3777,The powers of the Almighty will restore him.,"Heavenly powers , restore him !"
3778,"I've heard of your paintings, well enough.","I have heard of your paintings too , well enough ."
3779,You have been given one face by God and you have been given another by him.,God has given you one face and you make yourselves another .
3780,"You nickname God's creatures and make your wantonness yourIgnorance, because you jig and amble andlisp.","You jig and amble , and you lisp , you nickname God's creatures and make your wantonness your ignorance ."
3781,I will no longer be on 't' if you go to.,"Go to , I'll no more on 't ."
3782,I was made mad by it.,It hath made me mad .
3783,We will not have any more marriages.,"I say , we will have no more marriages ."
3784,All but one of those that are married already will live.,"Those that are married already , all but one , shall live ."
3785,The rest will not change as they are.,The rest shall keep as they are .
3786,"To a nunnery, leave.","To a nunnery , go ."
3787,Are you in love?,Love ?
3788,His affections do not tend to be that way.,His affections do not that way tend .
3789,"The seas and countries have variable objects that will expel something in his heart, where his brains still beating puts him.","Haply the seas and countries different With variable objects shall expel This something-settled matter in his heart , Whereon his brains still beating puts him thus From fashion of himself ."
3790,Do you think it's a good idea?,What think you on 't ?
3791,It's going to do well.,It shall do well .
3792,I don't believe that the origin and start of his grief was from neglected love.,"But yet do I believe The origin and commencement of his grief Sprung from neglected love. , How now , Ophelia ?"
3793,You do not have to tell us what Lord Hamlet said.,You need not tell us what Lord Hamlet said .
3794,"Please let her be with him, and I'll be placed in the ear of all their conference.","Let her be round with him , And I'll be placed , so please you , in the ear Of all their conference ."
3795,"If she doesn't find him, send him to England or confine him there.","If she find him not , To England send him or confine him where Your wisdom best shall think ."
3796,It will be like that.,It shall be so .
3797,"Speak to me if there is any good thing to be done, that may ease and grace to me.","If there be any good thing to be done That may to thee do ease and grace to me , Speak to me ."
3798,"They say that if you have uphoarded treasure in the womb of earth, your spirits will walk in death.","Or if thou hast uphoarded in thy life Extorted treasure in the womb of earth , For which , they say , you spirits oft walk in death , Speak of it ."
3799,Stay and speak!,Stay and speak !
3800,"Don't let it happen, Marcellus.","Stop it , Marcellus ."
3801,Is it possible that I will strike at it with my partisan.,Shall I strike at it with my partisan ?
3802,"If it will not stand, then do it.","Do , if it will not stand ."
3803,This is Tis here.,Tis here .
3804,This is Tis here.,Tis here .
3805,The man is gone.,Tis gone .
3806,The cock crew was about to hear something.,It was about to speak when the cock crew .
3807,"Speak the speech, I pray you, as I pronounced it to you, trippingly on the tongue.","Speak the speech , I pray you , as I pronounced it to you , trippingly on the tongue ."
3808,"It offends me to hear a robustious periwig-pated fellow tear a passion to tatters, to very rags, to split the ears of the groundlings, who for the most part are capable of nothing but inexplicable dumb-shows and","Oh , it offends me to the soul to hear a robustious periwig-pated fellow tear a passion to tatters , to very rags , to split the ears of the groundlings , who for the most part are capable of nothing but inexplicable dumb-shows and noise ."
3809,Such a fellow would be whipped for doing Termagant.,I would have such a fellow whipped for o'erdoing Termagant .
3810,"Don't do it, pray for it and avoid it.","Pray you , avoid it ."
3811,I am willing to honor your honor.,I warrant your honor .
3812,"Don't let your own discretion be your tutor, be not too tame either.","Be not too tame neither , but let your own discretion be your tutor ."
3813,"I hope we have reformed that indifferently, sir.","I hope we have reformed that indifferently with us , sir ."
3814,"O, make it 888-282-0465 888-282-0465 888-282-0465 888-282-0465 888-282-0465!","O , reform it altogether !"
3815,"For there be of them that will themselves laugh to set on some quantity of barren spectators to laugh too, and in the meantime some necessary question of the play be then to be considered.","And let those that play your clowns speak no more than is set down for them , for there be of them that will themselves laugh to set on some quantity of barren spectators to laugh too , though in the meantime some necessary question of the play be then to be considered ."
3816,"And the queen as well, and that right now.","And the queen too , and that presently ."
3817,The players are making haste.,Bid the players make haste .
3818,Will you and your friend help to speed them up?,Will you two help to hasten them ?
3819,"Ay, my lord.","Ay , my lord ."
3820,"What a wonderful person, Horatio.","What ho , Horatio !"
3821,"At your service, sweet lord, here.","Here , sweet lord , at your service ."
3822,"As e'er my conversation coped withal, Horatio, you art e'en as just a man.","Horatio , thou art e'en as just a man As e'er my conversation coped withal ."
3823,"I don't think I flatter you, my dear lord.","O my dear lord , Nay , do not think I flatter ."
3824,"I hope that no revenue hast but good spirits, so that we can feed and clothe thee.","For what advancement may I hope from thee That no revenue hast but thy good spirits , To feed and clothe thee ?"
3825,Why should the poor be flattered?,Why should the poor be flattered ?
3826,"No, let the tongue lick absurd pomp, and crook the pregnant hinges of the knee, where thrift may follow.","No , let the candied tongue lick absurd pomp , And crook the pregnant hinges of the knee Where thrift may follow fawning ."
3827,Dost you know what to say?,Dost thou hear ?
3828,"Since my dear soul was mistress of her choice, Hath sealed thee for herself, as one in suffering all that suffers nothing, A man that Fortune's buffets and rewards hast ta'en with.","Since my dear soul was mistress of her choice And could of men distinguish , her election Hath sealed thee for herself , for thou hast been , As one in suffering all that suffers nothing , A man that Fortune's buffets and rewards Hast ta'en with equal thanks ."
3829,Give him a note that is clear.,Give him heedful note .
3830,The people are going to the play.,They are coming to the play .
3831,I must not be doing anything.,I must be idle .
3832,You should get a place.,Get you a place .
3833,How do we fare against our cousin Hamlet?,How fares our cousin Hamlet ?
3834,"Excellent, I believe in the dish of the chameleon.","Excellent , i ' faith , of the chameleon's dish ."
3835,"I eat the air, promise-crammed.","I eat the air , promise-crammed ."
3836,Capons can't be fed so you can't.,You can not feed capons so .
3837,"I don't know what to think about this answer, Hamlet.","I have nothing with this answer , Hamlet ."
3838,"These words are not mine, they are not mine at all.",These words are not mine .
3839,"No, and mine right now.","No , nor mine now ."
3840,I was a good actor and was accounted by my lord.,"That did I , my lord , and was accounted a good actor ."
3841,What did you do to change things?,What did you enact ?
3842,Julius Caesar was a person I enacted.,I did enact Julius Caesar .
3843,I was murdered at the Capitol.,I was killed i ' th ' Capitol .
3844,I was murdered by Brutus.,Brutus killed me .
3845,"Ay, my lord.","Ay , my lord ."
3846,They stay on top of your patience.,They stay upon your patience .
3847,"No, a good mother.","No , good mother ."
3848,Here's metal that is more attractive.,Here's metal more attractive .
3849,"Lady, will I lie in your lap?","Lady , shall I lie in your lap ?"
3850,"No, my lord, no.","No , my lord ."
3851,Do you mean my head on your lap?,"I mean , my head upon your lap ?"
3852,"Ay, my lord.","Ay , my lord ."
